project	frequency
raven-logback	1
sampleproj	1
WeaponLayerJavaLibrary	1
eucalyptus-euare-common	1
guice-testlib	1
parent-mojo	1
notify-store4j	1
molgenis-app-omx-omicsconnect	1
spring-data-book-hadoop-hive	1
guides	1
ERIndexing	1
annotator	1
elasticsearch-transport-memcached	1
AdvertisementClientNoneJavaLibrary	1
modelmapper-jooq	1
drools-osgi	1
xwiki-commons-core	1
domain-eventing-core	1
xwiki-enterprise-data-derby	1
gwtp-appengine-objectify-archetype	1
citrus-bookstore	1
jsonhome-jersey	1
eve-core	1
CouchbaseMock	1
openclassic	1
tuscany-sca-api	1
platform-sample-acme-intranet-webapp	1
voting-ui	1
mctCoreTaxonomyProvider	1
war-example	1
isis-objectstore-xml	1
it0016-exe-dep-lib-layout21	1
grrrowl	1
gwtp-sample-basic-spring	1
fragment2	1
ruby-world	1
watch-ui	1
chorusproject	1
sass-example	1
SocietiesAPKLIBTester	1
tomp2p-examples	1
gwc-rest	1
repo-creation-err	1
sam-rest-demo-client	1
antlr4-coordinator	1
onlineguru	1
pentaho-reporting-engine-classic-extensions-sampledata	1
activiti-bpmn-model	1
lucene-stemmers	1
biojava3-core	1
EntityVisualTransformJavaLibrary	1
test3	1
fabric-cxf-registry	1
PreLoggingJavaLibrary	1
jotm-jrmp_stubs	1
sjk-plus	1
RouteConverterWindows	1
generated-pom	1
csparsej	1
commons-proxy	1
jclouds-resources	1
thymeleaf-testing	1
twitter4j-appengine	1
lazy-drawables	1
Local	1
jasmine-webapp-spec-order-matters	1
yum-repo-server	1
ripple-logo	1
social-extension-config	1
avatar-platform	1
bristleback-parent	1
spring-integration-rmi	1
paperclips	1
mayocat-platform-accounts-default	1
ch11	1
entando-page-myportalplus-basic	1
prancing-donkey-product-service	1
clojure-pom	1
hbase-sep-api	1
jersey-2335	1
ebselen-parent	1
OtherGraphicsMediaLibraryP	1
nuxeo-platform-localconfiguration-web	1
fcrepo-webapp	1
fiftyfive-wicket-test	1
uberfire-backend	1
sensei-project	1
jbossas-container	1
index-alternativedataflow	1
solo-war	1
drill-sqlline	1
fractal-bf-connectors-upnp	1
action	1
gb-action-geoserver	1
jdbc-paging-start	1
mayocat-shop-billing-api	1
grails-test-suite-base	1
nuxeo-platform-webapp-types	1
test-sessions-common	1
Moho-Sample-CallForward	1
portal-parent	1
jboss-jaspi-api	1
elmo-api	1
gs-wps-sextante	1
ERModernMoviesDemo	1
webbit-rest	1
HeadlessFeature	1
android-common-networks	1
ncpbuildbase	1
jbehave-web-flash-webdriver	1
entando-plugin-jpversioning	1
stat	1
kuromoji-naist-jdic	1
asmack-android	1
wildfly-webservices	1
service-instance-supervisor	1
item-enrichment-solution	1
camel-example-twitter-websocket	1
metrics-sampler-extension-exec	1
beangle-library-parent	1
citadel	1
service-gerrit	1
github-jobs	1
linked-data-launcher	1
jruby-embed	1
kune-java-gadget-sample-deployer	1
diff-it-2	1
spring-security-remoting	1
jansi-website	1
PickupGameJavaLibrary	1
cxf_rt_aegis	1
spring-security-samples-servletapi-xml	1
griffon-wrapper	1
atlas-cidr	1
deegree-client	1
simple-captcha	1
sirix-saxon	1
grails-async	1
metamorphosis-commons	1
management-space	1
modz-detector	1
slice-validation	1
juzu-templating-parent	1
nativeswing-swt	1
xwiki-commons	1
portletbridge-core	1
geekseek-domain-core	1
tyrus-container-glassfish-cdi	1
pc-as-webservice-listings	1
anticheat	1
modeshape-sequencer-xsd	1
fel	1
dspace-cocoon-servlet-service-impl	1
SiteB	1
customdetailrowcomponent	1
FortuneCookie	1
arago-rike	1
gephi-branding	1
webcam-capture-addons	1
testng-support	1
organizationchart-config	1
netty-microbench	1
Fest	1
htrace-zipkin	1
udig-indigo-target	1
ambrose	1
mule-module-freshbooks	1
geoapi-pending	1
logblock	1
picketlink-fed-pom	1
xwiki-platform-component	1
excluded-dep	1
neo-rdf-sail	1
entando-plugin-jpavatar	1
connector-accumulo	1
linuxtools-perf-parent	1
tomcat-examples-parent	1
xwiki-platform-wikistream-instance-api	1
SocietiesAndroidApp	1
molindo-wicket-utils	1
platformlayer-auth-system	1
pentaho-platform-scheduler	1
jira-lang-zh_TW	1
lwc-economy	1
frascati-implementation-osgi	1
beanio	1
trust-api	1
camel-typeconverterscan-test	1
kiji-scoring	1
jbpm-console-ng-human-tasks-forms-api	1
mod_cluster-container-catalina-standalone	1
spring-batch-simple-cli-javaconfig	1
ImageHTMLJavaLibrary	1
ldap-client-test	1
roboject-project	1
blackhole	1
robodemo-parent	1
geoplatform-services-test	1
alfresco-share	1
incremental-compiler	1
spring-sitemesh-integration	1
mmseg4j	1
AS7TxTest	1
dropwizard-jobs	1
hornetq-jms-large-message-example	1
wsrp-common	1
generic-soap-client	1
jt-vectorbinarize	1
fcrepo-integrationtest-configB	1
jaxrs-jaxws-java-first-common	1
gs-istyler	1
nutiteq-3d-sdk	1
pax-cdi-api	1
riftsaw-jacob	1
animal_sniffer	1
mule-transport-multicast	1
granite-client-java	1
snowdrop-interceptors-parent	1
ct-activityfeedmanager	1
blacktie-queue	1
tooling-activemq-facade	1
portlet-ws-util	1
partition-api	1
export-plugin-ui	1
module-jmx	1
solr-dao	1
axon-trader-core-api	1
fcrepo-integrationtest-configQ	1
atmosphere-rabbitmq	1
vaadin-scala-example	1
CssRegistry	1
chosen-sample	1
camel-example-cafe	1
services-authentication	1
ERSeleniumExample	1
scotty-gateway	1
apt-tools	1
ij-launcher	1
oozie-login	1
xwiki-platform-repository	1
mule-magento-demo-setup	1
entando-plugin-jpldap	1
saml-sp	1
apacheds-server-config	1
cloudbees-api-client-parent	1
prov-interop	1
data-attributes-api	1
cling-workbench	1
clojure-utils	1
release-stream	1
ratingstars	1
xwiki-platform-rendering-macro-script	1
cmis-interface	1
atlassian-public-pom	1
dist-fragment	1
LogPlayNJavaLibrary	1
Basic2DVectorLibrary	1
webservice-resources	1
crmservice-client-all	1
lily-runtime-launcher	1
hapi	1
echo3extras-webcontainer	1
jaxws_handler_tutorial-service	1
elasticsearch-timefacets-plugin	1
batch-kibble	1
J2MEForJ2MEJavaLibrary	1
ncpcompatcb2602	1
elasticbeanstalk-wrapper-webapp-archetype	1
groovy-with-pro-current-version	1
tuscany-model	1
spiffy	1
mikera	1
features-sl-sam	1
surefire-testng-utils	1
spring-data-book-gemfire	1
graphene-webdriver-ftest	1
modules-java-parent	1
air-conditioner	1
workbook-ex04_2-as7	1
milyn-smooks-flatfile	1
seam-social-twitter	1
sspace-opt	1
agile-security	1
camel-etc	1
jnode-dumb-module	1
wicket-mousetrap	1
weld-jsf-translator-war	1
milyn-smooks-example-xml-to-java	1
vboxws-42	1
dropwizard-example	1
lyra	1
bungeecord-parent	1
test-with-runnerType-goal-pro	1
agile-runtime-controller	1
liferay-portlet-richfaces-archetype	1
wildfly-jacorb	1
json-parent	1
load-railties-gems	1
quirks-richfaces4	1
war-tests-pom	1
insight-project	1
gatein-user-identity	1
solid-isp	1
nosqlunit-demo	1
mysema-commons-lang	1
producer-consumer	1
locator-soap-service-demo	1
atlassian-jdk-utilities	1
eHour-service	1
transformer-mustache	1
interp-from-model	1
photo_album_gae	1
lopsided-gui	1
allwidgets-android	1
easysoa-proxy-core-handlermanager	1
java-rdfa-parent	1
ds-service-h2	1
milton-server-ce	1
profusians	1
stilts-stomplet-server-bundle-tests	1
servlet-3-init-3	1
javafx-io	1
milyn-smooks-scripting	1
c4j-parent	1
switchyard-console-component-bean	1
mysema-commons-l10n	1
flick	1
xwiki-platform-wiki-user-api	1
deegree-compliance-tests	1
SPR-8991	1
javascript-checks	1
rivers-mysql	1
fakereplace-hibernate4	1
dcm4che-cdi-conf-prefs	1
capedwarf-capabilities	1
lib-shared-models	1
jersey-test-framework-provider-jetty	1
atlas-model	1
gs-scriptlet	1
SPR-6564	1
tapjoy-ads	1
docdoku-server-web	1
rdfbean-docs	1
quickstart-webdriver-testng	1
unitils-dbunit	1
jersey-2136	1
cereal	1
spring-build-src	1
allbinary_src_designpatterns_src	1
wildfly-core-security-parent	1
citrus-model-ssh	1
cdk-libiomd	1
database-service	1
xwiki-platform-feed	1
ApacheJMeter_native	1
mono4java-parent	1
qalingo-api-core-solr	1
desktop-hierarchy	1
metawidget-static-jsp	1
CombatGameJavaLibrary	1
jstestrunner-junit	1
commons-jelly-tags-soap	1
usersdatabasedpageaccess	1
parent-in-relpath-parent	1
pomotodo-app	1
rest-angularjs	1
dcc-app-it-it	1
prevayler-xstream	1
async-http-client-providers-parent	1
slf4j_log4j	1
aptina-commons	1
chapter02-samples	1
basex-tests	1
picocontainer-examples	1
test-basic-generation	1
v4l4j	1
spring-data-book-neo4j	1
servicemix-jms	1
nlm-extraction-workflow	1
unit-testing-threads	1
grizzly-spdy	1
arago-data	1
SPR-8813	1
aalto-xml	1
AdvancedMap3D	1
gridftp	1
nuxeo-runtime-jetty-adapter	1
nosqlunit-hbase	1
modelviewer	1
achilles-model	1
xwiki-platform-application-manager	1
simple_wicket_restful_jdo-fixture	1
AndroidUserFeedback	1
spec-somewhere	1
BasicLogConfigTypeJavaLibrary	1
chapter11-samples	1
camel-example-mybatis	1
addressbook-swing-applet	1
entando-plugin-jpcmstagcloud	1
spr-9183	1
dropbox-java-sdk	1
googleauth	1
weasis-dicom-parent	1
vaadin-lazyquerycontainer-mock-example	1
exportLibs	1
uadetector-core	1
belajar-restful-service	1
nuxeo-platform-jbpm-api	1
titan	1
helloworld-osgi-webapp	1
fenix-framework-core-hibernate-search	1
frascati-launcher-plugin	1
jarsigning	1
gquery-plugins	1
fabric-docker-api	1
ws-secpol-client	1
gquery-archetype	1
infoletter	1
vraptor-freemarker	1
patient-data-sharing-receiver-ui	1
beer-advisor-web	1
jnlp-servlet	1
gs-app-schema-postgis-test	1
cdk-build-utils	1
ardor3d-awt	1
swift-generator	1
default-configuration-multi-exec	1
quickstart_html_sql-viewer-html	1
oxalis-jdbc-jndi	1
test-framework	1
android-rest-additions	1
cdi-query-distribution	1
mes-plugins-product-catalog-numbers	1
indexer-example-01	1
elmo-sesame	1
organizationchart	1
jgit-buildnumber-ant-task	1
jaxws-cxf-sts-advanced-wspwar	1
teamengine-transformers	1
frascati-component-factory-juliac-tinfi-oo	1
jplayer	1
geoplatform-publisher-interface	1
arquillian-parent-jbossas	1
optiq-spark	1
weld-servlet-test-base	1
jain-sip-ri	1
ipf-commons-flow	1
wicket-dashboard-core	1
deegree-services-commons	1
sounder	1
task-service	1
milyn-smooks-example-jms-consumer	1
arquillian-testng-standalone	1
indirect-remote-service	1
trmk-common	1
solr-clustering	1
geoplatform-logger-support	1
Examples	1
moduleresolver	1
common-toolkit	1
ProyBeans	1
cloudbees-api-core	1
wildfly-subsystem-test-parent	1
execute-props-7	1
toolingApi	1
caelum-stella-hibernate-user-types	1
picocontainer-script	1
jahspotify-client	1
cucumber-needle	1
karaf-tutorial	1
infinitest-eclipse	1
weld-se-numberguess	1
lobobrowser	1
geoplatform-publisher-impl	1
frascati-factory-tools	1
mailinglist-war	1
feedbackMock	1
brooklyn-sandbox-software-monitoring	1
cas-server-integration-restlet	1
ipf-archetypes	1
simple-project-with-site	1
XPBank	1
eucalyptus-object-storage	1
faces-example-2x	1
javafx-ui-charts	1
mokai-assembly	1
commons-jelly-tags-log	1
avaje-javaparent	1
springtdd	1
picocontainer-script-core	1
aperteworkflow-core	1
test-check-dependencies-failure	1
hazelcast-documentation	1
spring-batch-infrastructure-tests	1
hivemind-lib	1
modeshape-sequencers-demo	1
presto-hive-cdh4	1
hornetq-jms-completion-listener-example	1
eucalyptus-cloudwatch-common	1
rest-parent	1
rewrite-showcase-rest	1
cas-client-integration-jboss	1
geoplatform-gml-binding	1
forum-application-create	1
nuxeo-webengine-management	1
nuxeo-platform-forum	1
ipf-platform-camel-ihe-xds	1
jbosscc-blog-example-bootstrap	1
arquillian-persistence-spi	1
torquebox-build-incremental	1
rest-persistence	1
EjbInjectionExample	1
javahg	1
serialization-engine-jackson	1
mpl	1
tycho-release	1
TownyChat	1
service-proxy-test	1
wildfly-security-api	1
angular-ui-bootstrap	1
developermetrics	1
clustering-api	1
saiku-adhoc-bi-platform-plugin	1
xwiki-platform-store-filesystem	1
question-reply	1
deegree-wms-similarity-tests	1
pressgang_xslt	1
zorka-core	1
portal-tests	1
ApplicationStatisticsJ2MELibrary	1
SPR-10485	1
findsecbugs-root-pom	1
plugin-hazelcast3	1
capistrano-spec	1
nuxeo-platform-forum-core	1
BasicWeaponPartsJavaLibrary	1
mercury-transport-http	1
lib-auto-generated	1
ahocorasick	1
frascati-starter	1
jaxb2-basics-tools	1
inproctester-core	1
fabric-commands	1
infinispan-cli-client	1
bdsup2sub	1
p2	1
databus-core-fwk-test	1
component-registry	1
runit-pom	1
USM	1
cat-consumer	1
working-directory-child	1
gt-grib	1
solo	1
insight-log-core	1
platform-extension-portlets	1
lily-pluginregistry-api	1
axis2-jaxbri	1
lib-models	1
arquillian-deployment-extension-tutorial-integration-tests	1
dependency-module-d	1
enhancing_jaxb_artifacts	1
sample-multimodulejava-module2	1
api-common	1
synthetica-bluemoon	1
gcm-client	1
animalraces-swing	1
chapter12-putting-together	1
update-center2	1
capedwarf-channel	1
ui-library-wrapper	1
tx-synch	1
hibernate-search-testing	1
achilles-embedded	1
macosx	1
testmongo	1
q0rdev-parent	1
jaxrs-jaxws-authorization-example	1
CustomFolder4MarkupExample	1
lib-dempsyguice	1
hornetq-jms-durable-subscription-example	1
alternate-version-bundle	1
SproutCore	1
testdata-subloader	1
fathomdb-http	1
j-interop	1
dashboard-parent	1
brooklyn-software-messaging	1
xchange-blockchain	1
xmlworker	1
guvnor-inbox-api	1
eucalyptus-autoscaling-common	1
teacompiler-api	1
fisheye-jar	1
jar-pom	1
gs-jdbcconfig	1
transfuse-hello-android	1
kmelia-config	1
findbugs-test-util	1
taverna-server	1
ipf-tutorials-osgi-ihe-route-auditor	1
ipf-osgi-config-log	1
switchyard-tools-dist	1
baseplugin	1
idea-junit	1
xPerms	1
xtstest	1
objectweb-datasource	1
MovsimConsumption	1
rampart-trust	1
cdi-quickstart	1
dubbo-demo	1
size	1
gs-control-flow	1
insight-log	1
shiro-jersey	1
linuxtools-systemtap-parent	1
netty-testsuite	1
kendzi3d-math	1
allwidgets-static-spring	1
wem-portal	1
toolwrapper_bash	1
wildfly-clustering-ejb-spi	1
otherversion	1
seam-faces-example-viewaction	1
CallbackURLExample	1
jdr	1
nuxeo-platform-url-api	1
restapi-parent	1
grizzly-framework-http	1
jaxrs-jaxws-java-first-war	1
openclassicapi	1
deploy-file	1
jboss-as7-quickstart	1
gwtp-build-tools	1
calendar-webservice	1
backport-concurrent	1
trevni-avro	1
easysoa-meteo-sca-backup	1
android-datepicker-sample	1
OpenGLESJavaLibrary	1
camel-example-activemq-tomcat	1
timeandmoney	1
imageio-reference	1
cloudsim	1
FreeblisketJavaLibraryP	1
torquebox-naming	1
chapter08-service	1
monolog	1
aggregate-features	1
appverse-web-modules-backend-frontfacade-rest	1
it0016-lib-layout21	1
pigudfs	1
play-runtime	1
milyn-smooks-misc	1
service-client-api	1
weasis-imageio-codec-windows-x86	1
elasticsearch-analysis-smartcn	1
lopsided-util	1
jms-cluster-example-client	1
focus-parent	1
CommonPickupJavaLibrary	1
jdt-debug-ui	1
drools-shapes-examples	1
MyLibraryB	1
camel-example-loan-broker	1
quickinfo	1
rio-platform	1
java7-playground	1
picocontainer-jetty-groovy	1
drools-informer-loader	1
mes-plugins-line-changeover-norms	1
abbot	1
extraclasspath	1
eclipse-webapp	1
manager-modules	1
isis-objectstore-sql-impl	1
bungeecord-protocol	1
appengine-tools-api	1
wxs-thrift	1
xwiki-platform-rendering-transformations	1
allwidgets-jqueryui	1
scalatra-commons	1
xdi2-messaging	1
jnode-pointchecker-module	1
workbook-ex09_2	1
startDateTimeString	1
bypass	1
ivory-main	1
nuxeo-platform-audit-ws	1
fenix-framework-test-collections	1
isis-progmodel-groovy-applib	1
provisionr-test-support	1
liferay-icu4j	1
diamond-utils	1
RpgBanks	1
trevni-core	1
ssl-proxies	1
flume-windows-dist	1
ApacheJMeter_junit	1
xwiki-platform-store-locks	1
titan-site	1
xwiki-enterprise-installer-debian-mysql-common	1
torquebox-parent	1
csp-api	1
axis2-transport-tcp	1
service-proxy-annot	1
jquery-cookie	1
report	1
adcolony-ads	1
sample-mule-step	1
gravia-container-common	1
aardvark-idea	1
build-info-vcs	1
elasticsearch-transport-wares	1
metawidget-jgoodiesvalidator	1
withIdeaModelCustomisations	1
it-fail-when-gavtc-fields-in-wrong-order	1
gatk-private	1
jaxrs-intro-service-bundle	1
failsafe-notests	1
ambrose-pig	1
arquillian-rest-warp-impl-resteasy	1
lily-runtime-rapi	1
parent-builder	1
jsonpullparser-usage	1
dspace-lni-client	1
jarb-migrations	1
frascati-metamodel-gcs	1
eucalyptus-troubleshooting	1
aop-playground	1
testdata	1
mysticpaste	1
connectors	1
MCore	1
udig-tycho	1
reservationservice-client-sl-sam	1
woframework-archetype	1
nuxeo-platform-contentview-jsf	1
forge	1
hamcrest-generator	1
shadingzen-tests-parent	1
tasklist-ui	1
rabbitmq-consumer-group	1
svg-android	1
allwidgets-swt	1
jxbrowser	1
cewolf	1
uberfire-workbench-processors-tests	1
hydra-admin-service	1
technologymodules	1
b02	1
entando-plugin-jpgeoref	1
arago-rike-commons	1
wicket-spring-boilerplate	1
RichCommsBundle	1
TestClientInfoJavaLibrary	1
deegree-core-annotations	1
jms-command	1
nuxeo-platform-directory-types-contrib	1
cxf-usernametoken-profile-service	1
SPR-11281	1
osgi-http-service	1
batch-core	1
Moho-Sample-ImifiedEcho	1
societies-annotations	1
wicket-native-websocket-jetty	1
pf4j-parent	1
jcodec-javase	1
jp4da-android	1
sample30-assembly-module2	1
hibernate-ogm-documentation	1
daim	1
jrugged	1
drools-shapes-xsd-processor-plugin	1
jstryker	1
hibernate-ogm-distribution	1
teamengine-saxpath	1
xfire-core	1
mayocat-cms-contact	1
integration-test-stages	1
MGWT-315-generateasync-with-compiled-classes	1
exo-addons-chat-extension-config-community	1
blobstore-karaf-shell	1
hibernate-search-distribution	1
repose-war	1
basic-http-client	1
jaxrs-jms-http-server	1
eHour-persistence-derby	1
henplus	1
compilerMessages	1
jclouds_blobstore	1
nuxeo-platform-imaging-convert	1
samples-root	1
selenium-	1
commons-jelly-tags-jsl	1
build-log4j	1
gt-referencing3D	1
popular-page	1
apacheds-core-api	1
arquillian-warp-spring	1
okapi-core	1
kendzi3d-parent	1
jsf2-cdi-portlet	1
pygments	1
weasis-core-parent	1
docbook-xsl-xalan	1
CssDirectoryClient	1
fabric-agent-commands	1
hibernate-validator-performance	1
jboss-ejb3-common	1
hadoop-pcap-serde	1
activiti-modeler	1
zookeeper-utils	1
libsqlite4java-osx	1
syslog4j-graylog2	1
howl-logger	1
infinitest-parent	1
spring-boot-parent	1
err-resolving-project-dep	1
preon	1
lambdava	1
class-list-plugin	1
modeshape-test-reference-impl	1
byteman_install	1
mongeez	1
milyn-smooks-example-jms-splitter-router	1
isis	1
jasmine-webapp-empty-example	1
gs-dxf-core	1
cq-wcm-api	1
rsc_gui	1
hadoop-wiki-pageranking	1
udig-docs	1
sarge	1
seadas-ocsswws	1
jqm4gwt-plugins	1
ponder	1
tripleplay-tools	1
smooth-streaming-fragmenter	1
javaruntype	1
test-filter-war	1
test-artifact	1
fabric-runtime-itests-karaf	1
swinglibrary	1
assessment	1
sitebricks-persist-sql	1
integration-interface	1
ejb3	1
dbunit-express	1
currency-model	1
jbpm-designer-backend	1
LicensedGameDemoJavaLibrary	1
kiji-express-tools	1
picocontainer-script-bsh	1
flyway-parent	1
torquebox-docs-manual	1
oxalis-api	1
hadoop-apache1	1
qcadoo-report	1
xml-tips-blog	1
shop-api	1
graphene-parent	1
ij-scripting-beanshell	1
wicket_devutils	1
ipf-commons-ihe-hl7v3	1
jersey-jrebel	1
usergrid-config	1
org-openide-util-enumerations	1
nosqldb-binding	1
courses-portlet-webapp	1
ontology-ethnicity-access	1
modelmapper-extensions	1
HermiT	1
deegree-wmts-tests	1
imageio-ext-gdalframework	1
example-p2-site	1
fabric-camel-autotest	1
GameInputMEJavaLibrary	1
loggingserver	1
kie-ci-osgi	1
jcabi-aspects	1
m2	1
yoga-integration	1
exanpe-parent	1
informa	1
asamal-all	1
superman	1
fabric-configadmin	1
t09-c	1
android-gui	1
gdx-openal	1
hedwig-protocol	1
nuxeo-drive-core	1
citrus-flightbooking	1
guessencoding	1
apacheds-avl-partition	1
crypto-util	1
cas-server-integration-jboss	1
jpa-h2-example	1
desktop-preview	1
tagbarcode-strategies	1
openutils-log4j	1
SPR-10743	1
killbill-osgi	1
libgdx-contribs-postprocessing	1
sonar-squid-java-plugin	1
rsql-parser	1
interop-integration-root	1
bungeecord-module-cmd-find	1
berkeley-db	1
databus-client	1
stella-distribution	1
sauce_java	1
customers-choice-library	1
spring-rabbit-log4j	1
hl7query-api	1
tripleplay-demo-java	1
killbill-api	1
windows7-pivotapplication-archetype	1
jbehave-spring-security-example	1
citrus-service-dataresolver	1
bookstore-webapp	1
lastcommons-lang	1
flume-avro-source	1
jsonpullparser-parent	1
axis2-saaj	1
json-moxy	1
infinispan-gui-demo	1
gs-imagemap	1
arquillian-tomcat-common	1
settings-upgrader	1
phresco-php-archetype	1
xfire-spring	1
alfresco-mobile-android-apps	1
jawk-engine	1
jesque	1
constretto-test	1
jbehave-pico-example	1
sparqlify-debian-tomcat7-old-but-working	1
arquillian-tutorial-rinse-repeat	1
gt-ogr-bridj	1
og-platform	1
undertow-checkstyle-config	1
fabric-camel-cxf	1
alfresco-jndi-client	1
baremvc	1
kml	1
alfresco-mobile-android-ui-library	1
modeshape-jdbc	1
jsf2-jsp-portlet	1
dal-jdbc	1
hyperjaxb3	1
spring-boot-sample-data-jpa	1
bio-formats	1
gb-action-mail	1
gb-action-octave-fileinfileout	1
androidsvg	1
web_pkg_scope	1
monitor-proxy	1
nunit	1
sirc	1
jirm-spring	1
mod_cluster-container-catalina	1
isis-all	1
pellet-query	1
atlas-zxtm-stubs	1
droidAtScreen	1
dispatcher	1
xchange-anx	1
csvengine	1
solder-reference-guide	1
jbehave-google-example	1
caelum-stella-taglib	1
patient-data-ui	1
useragent	1
jrugged-examples	1
jersey-test-framework-provider-default-client	1
scannit	1
val_conv_manager	1
ProcessingSerial	1
grobid-service	1
activiti-webapp-angular	1
vaadin-buildhelpers	1
cdk-signature	1
hydra-tika-stages	1
p4java-jfrog	1
J2MEMidletAsViewJavaLibrary	1
project-with-cycles	1
hazeltask-parent	1
gs-geoxacml	1
json-with-padding	1
softwaremill-backup	1
fake-artifact	1
cxf_rt_local	1
drools-eclipse	1
jelly-engine	1
yammer_metrics	1
flexointerfacebuilder	1
frascati-binding-jgroups	1
android-sdk-parent	1
appfuse-basic-jsf	1
fcrepo-security-pdp	1
SocialDataComms	1
gs-arcsde	1
gs-querylayer	1
societies-api-schema	1
java_util_concurrent_chm	1
wicket-rest-api	1
objectfabric-clr	1
pdf	1
lily-rest-resources-generator	1
swagger-springmvc	1
surefire-testcase	1
fabric-camel-demo	1
SPR-9638	1
nutz-web	1
nodejs-api-stubs	1
appverse-web-modules-backend-dependencies-pom	1
04-JPA	1
sample-kibbles	1
basex-parent	1
tapestry-hibernate-core	1
NoSensorJavaLibrary	1
valid	1
GameScoresLibrary	1
gwc-wmts	1
woden-tool	1
ui-components	1
uberfire-security-api	1
pg	1
external-lib-support	1
javatechnologymodule	1
liferay-portlet-icefaces-archetype	1
slice-assembly	1
AndroidAPI5AndUpJavaLibrary	1
akka-mailboxes-common	1
xbmc-jsonrpclib	1
GameScoresBaseHTMLLibrary	1
basex-api	1
scm-clients	1
fuse4j-core	1
datamodel	1
dsl4xml-sax	1
sickstache-parent	1
red5	1
linuxtools-lttng-parent	1
native-parent	1
SCanDroid	1
telly	1
springside-examples	1
loadui-integration-tests	1
xml-moxy	1
gs-jp2k	1
platform-sample	1
weasis-imageioext-j2k-codec-linux-x86	1
taurus-restlet	1
gb-rest-api	1
fs-esl-client	1
slidfast-demo	1
parking-android	1
karaf-command-archetype	1
bridge	1
capedwarf-cluster	1
sisu-equinox-api	1
multitenant-utils	1
restat-web	1
AndroidAgent	1
campfire	1
demoiselle-junit	1
frascati-introspection-fscript-impl	1
dsl4xml-json	1
key-gen	1
csp-helper	1
15-JSF	1
p5	1
nuxeo-platform-audit-io	1
appengine-java-io	1
spring-boot-sample-simple	1
spring-interceptor	1
grails-datastore-simple	1
kiji-hive-adapter	1
torrent4j	1
birthday-greetings	1
WGCustomFlags	1
airship-coordinator	1
killbill-osgi-bundles-lib-slf4j-osgi	1
dbfit-java	1
jsendnsca-core	1
imagecomparison	1
annis-gui	1
web-application-example-bootstrap	1
ioke-lang-lib	1
jbpm-infinispan-persistence	1
content-api	1
geoplatform-wfs-shared	1
xwiki-platform-wikistream-streams	1
thucydides-spock	1
annotation	1
klocwork	1
voting-service	1
Moho-Sample-AutomaticRedial	1
metro-x509-profile-service	1
rest-assured-parent	1
dspace-xmlui	1
PageParametersEncoderExample	1
ebselen-core	1
clustered-jgroups	1
spin	1
jsf-webapp	1
project-converter-goal	1
antApp	1
fenix-framework-backend-infinispan-code-generator	1
mydb	1
tictactoe-parent	1
gwtp-sample-basic	1
http_client	1
workflow-api	1
mapsforge-map-patched	1
deegree-core-base	1
gs-wcs1_0	1
couchbase-capi-server	1
privacypolicymanagement	1
gs-script-rb	1
staging-areas	1
raven-all	1
opencl-impl-proxy	1
stormpath-sdk-impl	1
debugging	1
labs-jpatest-core	1
grails-web-fileupload	1
plugin-jdg60	1
fdb-sql-parser	1
easyplnk20-impl	1
usergrid-android-client	1
fab-sample-camel-activemq-share	1
modeshape-jbossas-explorer-war	1
onebusaway-configuration-doclet	1
cometd-java-websocket-jetty-client	1
jotm_iiop_stubs	1
ifd-protocols	1
eagledns-fork	1
jain-sip-api	1
CategoryJavaLibrary	1
compiles-using-project-language-level	1
libswing	1
killbill-osgi-bundles-logger	1
torquebox-base-int	1
cdk-fingerprint	1
milyn-smooks-example-db-extract-transform-load	1
SPR-8683	1
byteman-root	1
sparqlify-parent	1
scala-project	1
colorpicker	1
droid-binary	1
gatein-management-rest	1
spring-data-book-hadoop-batch-extract	1
rewrite-showcase	1
social-webapp-resources	1
ivory-process	1
plugininterface	1
coro-mock	1
kie-aries-blueprint	1
kendzi3d-collada-bindings	1
sesame-rio-binary	1
wicket-parent	1
vibration	1
guvnor-workingset	1
goby	1
insight-storage	1
statistics-generator	1
virtjdbc4	1
milyn-smooks-example-xslt-basic	1
spring-security-samples-hellojs-jc	1
jira-lang-pt_BR	1
usergrid-launcher	1
elasticsearch-equilibrium	1
mctcore	1
javac2	1
mes-plugins-operational-tasks	1
onebusaway-gtfs-realtime-api	1
test-client-typevar-war	1
pde	1
deegree-mdstore-commons	1
cdi-iface-with-non-jaxrs-impl-test-webapp	1
surefire-685-commaseparatedIncludes	1
jvmtool-umbrella-pom	1
test-primefaces4-portlet	1
openwayback-core	1
test-check-dependencies	1
mayocat-platform-authorization	1
parent-samples	1
jsr173_1	1
ij-ImageIO	1
version-number	1
lib-stackConfiguration	1
tooling-servicemix-facade	1
KnittingBoar	1
deepamehta-accesscontrol	1
xwiki-platform-sheet	1
reservationservice-service-endpoint-all	1
quickinfo-jar	1
BattleTracker	1
postbuild-task	1
sspace-hadoop	1
ImageJavaLibrary	1
RestExample	1
jacorb-regression	1
milyn-smooks-persistence	1
jbogging-spi	1
argo	1
relaying	1
switchyard-as7-modules	1
methods	1
timeout-forked	1
e2e-client	1
insight-plugin-jms	1
work-management	1
server-sent-events	1
tweetstream	1
gt-coverage-experiment	1
oxalis-as2	1
tycho-standalone-p2-director	1
sparqled-commons	1
